MATRICULA,ADMISSAO,SINDICATO,COMPETENCIA,DIAS,VALOR DIARIO VR,TOTAL VR,CUSTO EMPRESA,DESCONTO PROFISSIONAL,OBS GERAL
35712,01/04/2025,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,01/05/2025,21,35.0,735.0,588.0,147.0,VR MENSAL MAIO/2025
35745,14/04/2025,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,01/05/2025,21,35.0,735.0,588.0,147.0,VR MENSAL MAIO/2025
35717,01/04/2025,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,01/05/2025,21,35.0,735.0,588.0,147.0,VR MENSAL MAIO/2025
35750,14/04/2025,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,01/05/2025,21,35.0,735.0,588.0,147.0,VR MENSAL MAIO/2025
35705,07/04/2025,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,01/05/2025,21,35.0,735.0,588.0,147.0,VR MENSAL MAIO/2025
35768,22/04/2025,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,01/05/2025,21,35.0,735.0,588.0,147.0,VR MENSAL MAIO/2025
35738,07/04/2025,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,01/05/2025,21,35.0,735.0,588.0,147.0,VR MENSAL MAIO/2025
35749,10/04/2025,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,01/05/2025,21,35.0,735.0,588.0,147.0,VR MENSAL MAIO/2025
35754,14/04/2025,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,01/05/2025,21,35.0,735.0,588.0,147.0,VR MENSAL MAIO/2025
35782,28/04/2025,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,01/05/2025,21,35.0,735.0,588.0,147.0,VR MENSAL MAIO/2025
35751,11/04/2025,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,01/05/2025,21,35.0,735.0,588.0,147.0,VR MENSAL MAIO/2025
35710,01/04/2025,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,01/05/2025,21,35.0,735.0,588.0,147.0,VR MENSAL MAIO/2025
35762,16/04/2025,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,01/05/2025,21,35.0,735.0,588.0,147.0,VR MENSAL MAIO/2025
35709,02/04/2025,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,01/05/2025,21,35.0,735.0,588.0,147.0,VR MENSAL MAIO/2025
35744,08/04/2025,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,01/05/2025,21,35.0,735.0,588.0,147.0,VR MENSAL MAIO/2025
35766,22/04/2025,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,01/05/2025,21,35.0,735.0,588.0,147.0,VR MENSAL MAIO/2025
35765,22/04/2025,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,01/05/2025,21,35.0,735.0,588.0,147.0,VR MENSAL MAIO/2025
35739,08/04/2025,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,01/05/2025,21,35.0,735.0,588.0,147.0,VR MENSAL MAIO/2025
35756,17/04/2025,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,01/05/2025,21,35.0,735.0,588.0,147.0,VR MENSAL MAIO/2025
35761,17/04/2025,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,01/05/2025,21,35.0,735.0,588.0,147.0,VR MENSAL MAIO/2025
35763,17/04/2025,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,01/05/2025,21,35.0,735.0,588.0,147.0,VR MENSAL MAIO/2025
35776,23/04/2025,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,01/05/2025,21,35.0,735.0,588.0,147.0,VR MENSAL MAIO/2025
35730,03/04/2025,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,01/05/2025,21,35.0,735.0,588.0,147.0,VR MENSAL MAIO/2025
35743,08/04/2025,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,01/05/2025,21,35.0,735.0,588.0,147.0,VR MENSAL MAIO/2025
35770,23/04/2025,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,01/05/2025,21,35.0,735.0,588.0,147.0,VR MENSAL MAIO/2025
